Interval	Number of Counts
 0.06189	 0.06189
 0.00403	 0.00403
 0.00403	 0.00403
 0.00436	 0.00436
 0.00403	 0.00403
 0.00370	 0.00370
 0.00403	 0.00403
 0.00436	 0.00436
 0.00468	 0.00468
 0.00501	 0.00501
 0.78262	 0.78262
 0.82470	 0.82470
 0.82339	 0.82339
 0.82372	 0.82372
 0.82536	 0.82536
 0.82174	 0.82174
 0.05236	 0.05236
 0.00501	 0.00501
 0.00436	 0.00436
 0.00436	 0.00436
 0.00436	 0.00436
 0.00403	 0.00403
 0.00436	 0.00436
 0.00403	 0.00403
 0.00468	 0.00468
 0.00436	 0.00436
 0.71028	 0.71028
 0.84279	 0.84279
 0.84542	 0.84542
 0.84805	 0.84805
 0.84706	 0.84706
 0.85429	 0.85429
 0.05302	 0.05302
 0.00436	 0.00436
 0.00436	 0.00436
 0.00468	 0.00468
 0.00403	 0.00403
 0.00403	 0.00403
 0.00468	 0.00468
 0.00403	 0.00403
 0.00403	 0.00403
 0.00436	 0.00436
 0.74119	 0.74119
 0.85166	 0.85166
 0.84805	 0.84805
 0.84772	 0.84772
 0.84673	 0.84673
 0.84476	 0.84476
 0.09642	 0.09642
 0.00468	 0.00468
 0.00436	 0.00436
 0.00436	 0.00436
 0.00436	 0.00436
 0.00436	 0.00436
 0.00468	 0.00468
 0.00468	 0.00468
 0.00534	 0.00534
 0.00436	 0.00436
 0.71817	 0.71817
 0.82569	 0.82569
 0.82372	 0.82372
 0.82372	 0.82372
 0.82667	 0.82667
 0.82503	 0.82503
 0.08820	 0.08820
 0.00468	 0.00468
 0.00501	 0.00501
 0.00468	 0.00468
 0.00468	 0.00468
 0.00403	 0.00403
 0.00436	 0.00436
 0.00436	 0.00436
 0.00436	 0.00436
 0.00468	 0.00468
 0.60901	 0.60901
 0.80760	 0.80760
 0.80695	 0.80695
 0.80530	 0.80530
 0.80169	 0.80169
 0.79708	 0.79708
 0.03789	 0.03789
 0.00468	 0.00468
 0.00403	 0.00403
 0.00436	 0.00436
 0.00403	 0.00403
 0.00403	 0.00403
 0.00436	 0.00436
 0.00403	 0.00403
 0.00468	 0.00468
 0.00436	 0.00436
 0.40056	 0.40056
 0.77045	 0.77045
 0.76618	 0.76618
 0.76026	 0.76026
 0.76026	 0.76026
 0.75829	 0.75829
 0.17040	 0.17040
 0.00468	 0.00468
 0.00468	 0.00468
 0.00403	 0.00403
 0.00468	 0.00468
 0.00468	 0.00468
 0.00436	 0.00436
 0.00403	 0.00403
 0.00403	 0.00403
 0.00436	 0.00436
 0.35880	 0.35880
 0.73626	 0.73626
 0.73428	 0.73428
 0.73264	 0.73264
 0.72902	 0.72902
 0.72705	 0.72705
 0.23090	 0.23090
 0.00468	 0.00468
 0.00436	 0.00436
 0.00468	 0.00468
 0.00436	 0.00436
 0.00403	 0.00403
 0.00468	 0.00468
 0.00436	 0.00436
 0.00436	 0.00436
 0.00436	 0.00436
 0.27594	 0.27594
 0.71686	 0.71686
 0.71587	 0.71587
 0.71390	 0.71390
 0.71291	 0.71291
 0.71061	 0.71061
 0.30455	 0.30455
 0.00534	 0.00534
 0.00436	 0.00436
 0.00468	 0.00468
 0.00436	 0.00436
 0.00436	 0.00436
 0.00436	 0.00436
 0.00468	 0.00468
 0.00468	 0.00468
 0.00403	 0.00403
 0.23747	 0.23747
 0.71028	 0.71028
 0.71061	 0.71061
 0.71061	 0.71061
 0.71258	 0.71258
 0.71291	 0.71291
 0.41436	 0.41436
 0.00666	 0.00666
 0.00468	 0.00468
 0.00501	 0.00501
 0.00436	 0.00436
 0.00468	 0.00468
 0.00403	 0.00403
 0.00403	 0.00403
 0.00403	 0.00403
 0.00436	 0.00436
 0.17566	 0.17566
 0.71192	 0.71192
 0.71160	 0.71160
 0.71127	 0.71127
 0.71028	 0.71028
 0.70962	 0.70962
 0.47749	 0.47749
 0.00600	 0.00600
 0.00436	 0.00436
 0.00436	 0.00436
 0.00403	 0.00403
 0.00436	 0.00436
 0.00436	 0.00436
 0.00436	 0.00436
 0.00501	 0.00501
 0.00436	 0.00436
 0.04315	 0.04315
 0.70568	 0.70568
 0.70436	 0.70436
 0.70535	 0.70535
 0.70732	 0.70732
 0.70568	 0.70568
 0.45415	 0.45415
 0.00567	 0.00567
 0.00436	 0.00436
 0.00436	 0.00436
 0.00403	 0.00403
 0.00403	 0.00403
 0.00436	 0.00436
 0.00436	 0.00436
 0.00436	 0.00436
 0.00403	 0.00403
 0.04250	 0.04250
 0.69088	 0.69088
